 ,,,,,,,,,,,,,,,,
G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
69,Mon Mar 18 2024,10:30p,,Box Score,,Atlanta Hawks,W,,136,105,37,32,W 1,18997,1:57,
70,Fri Mar 22 2024,10:30p,,Box Score,,Philadelphia 76ers,W,,101,94,38,32,W 2,18997,2:18,
71,Sun Mar 24 2024,10:00p,,Box Score,,Indiana Pacers,W,,150,145,39,32,W 3,18997,2:20,
72,Tue Mar 26 2024,7:30p,,Box Score,@,Milwaukee Bucks,W,2OT,128,124,40,32,W 4,18085,3:04,
73,Wed Mar 27 2024,8:00p,,Box Score,@,Memphis Grizzlies,W,,136,124,41,32,W 5,17794,2:16,
74,Fri Mar 29 2024,7:00p,,Box Score,@,Indiana Pacers,L,,90,109,41,33,L 1,17274,2:06,
75,Sun Mar 31 2024,6:00p,,Box Score,@,Brooklyn Nets,W,,116,104,42,33,W 1,18162,2:08,
76,Tue Apr 2 2024,7:00p,,Box Score,@,Toronto Raptors,W,,128,111,43,33,W 2,19800,2:06,
77,Wed Apr 3 2024,7:00p,,Box Score,@,Washington Wizards,W,,125,120,44,33,W 3,20333,2:14,
78,Sat Apr 6 2024,3:30p,,Box Score,,Cleveland Cavaliers,W,,116,97,45,33,W 4,18997,2:04,
79,Sun Apr 7 2024,10:00p,,Box Score,,Minnesota Timberwolves,L,,117,127,45,34,L 1,18997,2:05,
80,Tue Apr 9 2024,10:00p,,Box Score,,Golden State Warriors,L,,120,134,45,35,L 2,18997,2:15,
81,Fri Apr 12 2024,8:00p,,Box Score,@,Memphis Grizzlies,W,,123,120,46,35,W 1,17794,2:20,
82,Sun Apr 14 2024,3:30p,,Box Score,@,New Orleans Pelicans,W,,124,108,47,35,W 2,18633,2:16,
83,Tue Apr 16 2024,7:30p,,Box Score,@,New Orleans Pelicans,W,,110,106,48,35,W 3,18591,2:33,Play-In Game
